         1046202 function calls (1005802 primitive calls) in 0.567 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000    0.002    0.000    0.002    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/ctypes/__init__.py:49(create_string_buffer)
     3400    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/series.py:834(_values)
      400    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:293(_remove_non_arrays)
      200    0.002    0.000    0.002    0.000 {built-in method builtins.__build_class__}
      400    0.002    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_metadata_requests.py:1622(__getitem__)
      200    0.000    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:1488(__sklearn_tags__)
     5400    0.002    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/inference.py:334(is_hashable)
      400    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/base.py:459(__setstate__)
     2000    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/_config/config.py:635(_get_root)
      400    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/numerictypes.py:385(isdtype)
      200    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/shape_base.py:218(vstack)
     1600    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:180(blknos)
      400    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/generic.py:2152(__array__)
      200    0.000    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/base.py:533(__sklearn_tags__)
      600    0.001    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
      200    0.000    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/joblib/externals/loky/backend/context.py:143(_cpu_count_cgroup)
     2000    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/blocks.py:2747(get_block_type)
     3000    0.001    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
      200    0.000    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/series.py:6439(_reduce)
